Farming region type;Biogas plant type;Biomass;Biomass class;Biomass share [% FM], M;Biomass share [% FM], SD;Biomass share [% FM], Min;Biomass share [% FM], Max;Distribution;Source
Arable farming region;CHP FCB;Beet leaf;LCB;0.01;0;0;0.01;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Cattle manure;NCB;4.6;0.33;3.15;5.72;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Cattle slurry;NCB;29.19;0.76;26.56;31.93;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Cereal grain;FCB;1.26;0.09;0.89;1.52;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Cereal straw;LCB;0.01;0.01;0;0.02;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Cereal whole crop;FCB;4.8;0.31;3.5;5.76;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Clover alfalfa grass mix;LCB;0;0;0;0;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Clover grass mix;LCB;0.65;0.33;0;0.91;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Cup plant;LCB;0.11;0.02;0.01;0.15;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Fodder beets;FCB;0;0;0;0;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Food processing waste;NCB;0.48;0.25;0;0.68;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Food waste;NCB;0;0;0;0.01;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Glycerine;NCB;0;0;0;0;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Grape pomace;NCB;0;0;0;0;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Grease trap;NCB;0.23;0.12;0;0.32;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Green rye;FCB;0.85;0.13;0.31;1.15;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Horse manure;NCB;0.42;0.17;0.01;0.58;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Landscaping material;LCB;0;0;0;0;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Legume cereal mix whole crop;FCB;0.07;0.03;0;0.09;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Legume grain;FCB;0;0;0;0.01;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Maize grain;FCB;0.64;0.1;0.26;0.87;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Maize straw;LCB;0;0;0;0;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Maize whole crop;FCB;43.17;0.89;39.48;46.25;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Permanent grassland;LCB;8.7;0.47;6.85;10.31;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Pig manure;NCB;0.09;0.04;0;0.12;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Pig slurry;NCB;3.47;0.56;0.92;4.75;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Potatoes;FCB;0.01;0.01;0;0.02;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Poultry manure;NCB;0.49;0.12;0.02;0.68;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Rapeseed whole crop;FCB;0;0;0;0;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Sheep manure;NCB;0.19;0.07;0;0.27;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Sorghum whole crop;FCB;0.05;0.02;0;0.06;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Sugar beets;FCB;0.46;0.07;0.13;0.61;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Sunflower whole crop;FCB;0.03;0.01;0;0.04;Resampling from empirical distribution;Data set V
Arable farming region;CHP FCB;Szarvasi whole crop;LCB;0;0;0;0;Resampling from empirical distribution;Data set V
Arable farming region;CHP NCB;Cattle manure;NCB;19.95;4.08;8.24;26.52;Resampling from empirical distribution;Data set VI
Arable farming region;CHP NCB;Cattle slurry;NCB;74.43;4.48;65.33;84.51;Resampling from empirical distribution;Data set VI
Arable farming region;CHP NCB;Cereal grain;FCB;0;0;0;0;Resampling from empirical distribution;Data set VI
Arable farming region;CHP NCB;Cereal whole crop;FCB;0.27;0.14;0;0.45;Resampling from empirical distribution;Data set VI
Arable farming region;CHP NCB;Fodder beets;FCB;0;0;0;0;Resampling from empirical distribution;Data set VI
Arable farming region;CHP NCB;Landscaping material;LCB;0;0;0;0;Resampling from empirical distribution;Data set VI
