Crop;Biomass class;Biomass;RPR, M;RPR, SD;RPR, Min;RPR, Max;Distribution;Source
Amaranth;LCB;Cereal straw;2.3;0.23;1.45;3.23;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Buckwheat;LCB;Cereal straw;1;0.1;0.63;1.41;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Durum wheat;LCB;Cereal straw;0.8;0.08;0.5;1.12;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Fava beans;LCB;Legume straw;1;0.1;0.63;1.41;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Fodder peas;LCB;Legume straw;1;0.1;0.63;1.41;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Hops;NCB;Hops chaff;8.01;0.8;5.03;11.24;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Legume mixture;LCB;Legume straw;1;0.1;0.63;1.41;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lupins;LCB;Legume straw;1;0.1;0.63;1.41;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Maize grain;LCB;Maize straw;1;0.1;0.63;1.41;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Oats;LCB;Cereal straw;1.1;0.11;0.69;1.55;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Potatoes;NCB;Potato haulm;0.2;0.02;0.13;0.28;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Quinoa;LCB;Cereal straw;2;0.2;1.26;2.81;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Rye;LCB;Cereal straw;0.9;0.09;0.57;1.26;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Sorghum;LCB;Cereal straw;2;0.2;1.26;2.81;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Soy bean;LCB;Legume straw;1;0.1;0.63;1.41;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Sugar beets;LCB;Beet leaf;0.4;0.04;0.25;0.56;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Summer barley;LCB;Cereal straw;0.7;0.07;0.44;0.98;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Summer mixed cereals;LCB;Cereal straw;0.8;0.08;0.5;1.12;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Summer rapeseed;NCB;Rape straw;1.7;0.17;1.07;2.39;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Summer wheat;LCB;Cereal straw;0.8;0.08;0.5;1.12;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Sunflower;NCB;Sunflower straw;2;0.2;1.26;2.81;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Triticale;LCB;Cereal straw;0.9;0.09;0.57;1.26;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Vineyard;NCB;Grape pomace;0.5;0.05;0.31;0.7;Normal;Own estimation
Winter barley;LCB;Cereal straw;0.7;0.07;0.44;0.98;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Winter rapeseed;NCB;Rape straw;1.7;0.17;1.07;2.39;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Winter wheat;LCB;Cereal straw;0.8;0.08;0.5;1.12;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
