Administrative region;Livestock type;Livestock;Share of stable keeping [%], M;Share of stable keeping [%], SD;Share of stable keeping [%], Min;Share of stable keeping [%], Max;Distribution;Source
Lower Bavaria;Cattle;Calves up to 6 months;95.15;2.43;85.95;100;Normal;Data set II
Lower Bavaria;Cattle;Cows (dairy, suckler and nurse cows);96.15;2.34;87;100;Normal;Data set II
Lower Bavaria;Cattle;Female cattle over 1 year up to 2 years;95.15;2.43;85.95;100;Normal;Data set II
Lower Bavaria;Cattle;Female cattle over 6 months up to 1 year;95.15;2.43;85.95;100;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 1 year up to 2 years;95.15;2.43;85.95;100;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 2 years, breeding bulls;95.15;2.43;85.95;100;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 6 months up to 1 year;95.15;2.43;85.95;100;Normal;Data set II
Lower Bavaria;Cattle;Other female cattle over 2 years;95.15;2.43;85.95;100;Normal;Data set II
Lower Bavaria;Horses;Horses over 1 year;80.02;2.5;70.79;93.79;Normal;Data set II
Lower Bavaria;Horses;Horses up to 1 year, ponies, small horses;80.02;2.5;70.79;93.79;Normal;Data set II
Lower Bavaria;Pigs;Breeding sows from 1st farrowing/pregnant gilts;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Pigs;Fattening pigs (incl. boars) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Pigs;Other breeding pigs (without boar) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Pigs;Piglets up to under 30 kg;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Pigs;Young pigs 30 to under 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Poultry;Broiler chickens/roosters and other chicks;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Poultry;Chicks and pullets up to 6 months for rearing;78.12;2.5;68.89;91.89;Normal;Data set II
Lower Bavaria;Poultry;Ducks;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Poultry;Geese;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Poultry;Laying hens over 6 months;78.12;2.5;68.89;91.89;Normal;Data set II
Lower Bavaria;Poultry;Turkeys;99.02;1.45;90.79;100;Normal;Data set II
Lower Bavaria;Sheep;Ewes;33.02;2.5;23.79;46.79;Normal;Data set II
Lower Bavaria;Sheep;Other sheep over 1 year, mutton;33.02;2.5;23.79;46.79;Normal;Data set II
Lower Bavaria;Sheep;Rams for breeding;33.02;2.5;23.79;46.79;Normal;Data set II
Lower Bavaria;Sheep;Sheeps up to 1 year, including lambs;33.02;2.5;23.79;46.79;Normal;Data set II
Lower Franconia;Cattle;Calves up to 6 months;87.86;2.5;78.63;100;Normal;Data set II
Lower Franconia;Cattle;Cows (dairy, suckler and nurse cows);92.52;2.49;83.29;100;Normal;Data set II
Lower Franconia;Cattle;Female cattle over 1 year up to 2 years;87.86;2.5;78.63;100;Normal;Data set II
Lower Franconia;Cattle;Female cattle over 6 months up to 1 year;87.86;2.5;78.63;100;Normal;Data set II
Lower Franconia;Cattle;Male cattle over 1 year up to 2 years;87.86;2.5;78.63;100;Normal;Data set II
Lower Franconia;Cattle;Male cattle over 2 years, breeding bulls;87.86;2.5;78.63;100;Normal;Data set II
Lower Franconia;Cattle;Male cattle over 6 months up to 1 year;87.86;2.5;78.63;100;Normal;Data set II
Lower Franconia;Cattle;Other female cattle over 2 years;87.86;2.5;78.63;100;Normal;Data set II
Lower Franconia;Horses;Horses over 1 year;80.02;2.5;70.79;93.79;Normal;Data set II
Lower Franconia;Horses;Horses up to 1 year, ponies, small horses;80.02;2.5;70.79;93.79;Normal;Data set II
Lower Franconia;Pigs;Breeding sows from 1st farrowing/pregnant gilts;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Pigs;Fattening pigs (incl. boars) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Pigs;Other breeding pigs (without boar) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Pigs;Piglets up to under 30 kg;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Pigs;Young pigs 30 to under 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Poultry;Broiler chickens/roosters and other chicks;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Poultry;Chicks and pullets up to 6 months for rearing;81.71;2.5;72.48;95.48;Normal;Data set II
Lower Franconia;Poultry;Ducks;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Poultry;Geese;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Poultry;Laying hens over 6 months;81.71;2.5;72.48;95.48;Normal;Data set II
Lower Franconia;Poultry;Turkeys;99.02;1.45;90.79;100;Normal;Data set II
Lower Franconia;Sheep;Ewes;33.02;2.5;23.79;46.79;Normal;Data set II
Lower Franconia;Sheep;Other sheep over 1 year, mutton;33.02;2.5;23.79;46.79;Normal;Data set II
Lower Franconia;Sheep;Rams for breeding;33.02;2.5;23.79;46.79;Normal;Data set II
Lower Franconia;Sheep;Sheeps up to 1 year, including lambs;33.02;2.5;23.79;46.79;Normal;Data set II
Middle Franconia;Cattle;Calves up to 6 months;91.52;2.49;82.29;100;Normal;Data set II
Middle Franconia;Cattle;Cows (dairy, suckler and nurse cows);92.52;2.49;83.29;100;Normal;Data set II
