Administrative region;Cultivation;Yield [tFM ha^-1], M;Yield [tFM ha^-1], SD;Yield [tFM ha^-1], Min;Yield [tFM ha^-1], Max;Distribution;Source
Lower Bavaria;Amaranth;3.51;0.35;2.19;4.8;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Bavaria;Amaranth whole crop silage;35.04;3.5;22.1;50.26;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Bavaria;Buckwheat;2.5;0.25;1.5;3.42;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Bavaria;Buckwheat whole crop silage;17.98;1.82;10.89;24.62;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Bavaria;Cereal whole crop silage;26.36;2.75;14.66;38.18;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Durum wheat;5.77;0.43;4.09;7.44;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Fava beans;3.15;0.57;1.09;5.75;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Field grass;9.09;1.41;3.41;14.02;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Flowering mixture, year 1;4.55;0.45;2.82;6.31;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Lower Bavaria;Flowering mixture, year 2;5.85;0.58;3.48;8.46;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Lower Bavaria;Fodder peas;3.4;0.34;2.11;4.64;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Legume mixture;2.5;0.25;1.66;3.42;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Bavaria;Legume whole crop silage;8.42;1.08;4.45;12.37;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Lupins;2.72;0.49;0.96;4.48;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Maize grain;10.17;1;6.11;14.21;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Maize silage;48.44;4.85;30.53;65.4;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Oats;4.78;0.4;3.04;6.21;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Pastures, mowed pastures, alpine pastures;6.11;1.26;1.56;10.95;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Permanent grassland;7.4;0.97;3.86;10.96;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Potatoes;42.68;5.17;23.45;63.23;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Quinoa;3.01;0.3;1.81;4.33;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Bavaria;Quinoa whole crop silage;18;1.8;11.63;24.17;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Bavaria;Rapeseed whole crop silage;35.03;3.46;23.15;48.73;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Bavaria;Rye;5.43;0.52;3.45;7.33;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Silphia;54.05;17.83;0;119.92;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Lower Bavaria;Sorghum;5;0.5;3.03;6.79;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Lower Bavaria;Sorghum whole crop silage;50.88;10.54;13.62;91.5;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Lower Bavaria;Soy bean;3.06;0.33;1.84;4.26;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Sugar beets;87.78;9.44;55.04;122.84;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Summer barley;5.01;0.46;3.15;6.61;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Summer mixed cereals;4.27;0.71;1.67;6.74;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Summer rapeseed;3.02;0.32;1.64;4.21;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Summer wheat;6.22;0.71;3.76;9.06;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Sunflower;2.89;0.38;1.63;4.29;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
