Livestock type;Livestock;Biomass;Biomass class;Manure accumulation [tFM head^-1], M;Manure accumulation [tFM head^-1], SD;Manure accumulation [tFM head^-1], Min;Manure accumulation [tFM head^-1], Max;Distribution;Source
Cattle;Calves up to 6 months;Cattle manure;NCB;4.01;0.29;2.95;5.08;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Calves up to 6 months;Cattle slurry;NCB;3.6;0.33;2.5;4.8;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Cows (dairy, suckler and nurse cows);Cattle manure;NCB;20.5;1.49;14.3;26.91;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Cows (dairy, suckler and nurse cows);Cattle slurry;NCB;20.5;0.5;18.15;22.28;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Female cattle over 1 year up to 2 years;Cattle manure;NCB;12.15;0.72;9.52;15.17;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Female cattle over 1 year up to 2 years;Cattle slurry;NCB;11.5;0;11.5;11.5;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Female cattle over 6 months up to 1 year;Cattle manure;NCB;7.76;0.48;5.93;9.78;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Female cattle over 6 months up to 1 year;Cattle slurry;NCB;7.6;0;7.6;7.6;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Male cattle over 1 year up to 2 years;Cattle manure;NCB;10.26;1.22;5.3;15.27;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Cattle;Male cattle over 1 year up to 2 years;Cattle slurry;NCB;9.9;0.07;9.64;10.16;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
