Farming region type;Biogas plant type;Methane yield [m3 tFM^-1], M;Methane yield [m3 tFM^-1], SD;Methane yield [m3 tFM^-1], Min;Methane yield [m3 tFM^-1], Max;Distribution;Source
Arable farming region;CHP FCB;79.63;0.92;76.09;82.82;Resampling from empirical distribution;Data set V
Arable farming region;CHP NCB;25.56;2.76;21.09;32.98;Resampling from empirical distribution;Data set VI
Arable farming region;GGI;93.77;7.09;82.74;110.8;Resampling from empirical distribution;Data set VII
Grassland-rich region;CHP FCB;81.94;1.28;77.86;86.93;Resampling from empirical distribution;Data set V
Grassland-rich region;CHP NCB;27.18;1.29;24.23;31.27;Resampling from empirical distribution;Data set VI
Grassland-rich region;GGI;83.43;44.33;38.11;126.8;Resampling from empirical distribution;Data set VII
Mixed farming region;CHP FCB;83.8;0.9;80.35;87.53;Resampling from empirical distribution;Data set V
Mixed farming region;CHP NCB;33.29;1.06;29.82;37.18;Resampling from empirical distribution;Data set VI
Mixed farming region;GGI;104.27;2.55;97.03;110.24;Resampling from empirical distribution;Data set VII
Pure grassland region;CHP FCB;75.09;3.48;67.47;83.04;Resampling from empirical distribution;Data set V
Pure grassland region;CHP NCB;32.09;1.92;28.49;38.46;Resampling from empirical distribution;Data set VI
Pure grassland region;GGI;-;-;-;-;Resampling from empirical distribution;Data set VII
