Farming region type;Livestock type;Livestock;Biomass;Biomass class;Biomass share [% DM];Distribution;Source
Arable farming region;Cattle;Calves up to 6 months;Cereal straw;LCB;3.5;Constant;Estimation by LfL experts
Arable farming region;Cattle;Calves up to 6 months;Clover alfalfa grass mix;LCB;3;Constant;Estimation by LfL experts
Arable farming region;Cattle;Calves up to 6 months;Clover grass mix;LCB;6;Constant;Estimation by LfL experts
Arable farming region;Cattle;Calves up to 6 months;Field grass;FCB;1;Constant;Estimation by LfL experts
Arable farming region;Cattle;Calves up to 6 months;Maize whole crop;FCB;76.5;Constant;Estimation by LfL experts
Arable farming region;Cattle;Calves up to 6 months;Permanent grassland;LCB;10;Constant;Estimation by LfL experts
Arable farming region;Cattle;Cows (dairy, suckler and nurse cows);Cereal straw;LCB;3;Constant;Estimation by LfL experts
Arable farming region;Cattle;Cows (dairy, suckler and nurse cows);Clover alfalfa grass mix;LCB;4.5;Constant;Estimation by LfL experts
Arable farming region;Cattle;Cows (dairy, suckler and nurse cows);Clover grass mix;LCB;9;Constant;Estimation by LfL experts
Arable farming region;Cattle;Cows (dairy, suckler and nurse cows);Field grass;FCB;1.5;Constant;Estimation by LfL experts
Arable farming region;Cattle;Cows (dairy, suckler and nurse cows);Maize whole crop;FCB;70;Constant;Estimation by LfL experts
Arable farming region;Cattle;Cows (dairy, suckler and nurse cows);Permanent grassland;LCB;12;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 1 year up to 2 years;Cereal straw;LCB;32;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 1 year up to 2 years;Clover alfalfa grass mix;LCB;3.3;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 1 year up to 2 years;Clover grass mix;LCB;6.6;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 1 year up to 2 years;Field grass;FCB;1.1;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 1 year up to 2 years;Maize whole crop;FCB;49;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 1 year up to 2 years;Permanent grassland;LCB;8;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 6 months up to 1 year;Cereal straw;LCB;3;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 6 months up to 1 year;Clover alfalfa grass mix;LCB;4.5;Constant;Estimation by LfL experts
Arable farming region;Cattle;Female cattle over 6 months up to 1 year;Clover grass mix;LCB;9;Constant;Estimation by LfL experts
