Administrative region;Livestock type;Livestock;Housing type description;Housing type [%], M;Housing type [%], SD;Housing type [%], Min;Housing type [%], Max;Distribution;Source
Lower Bavaria;Cattle;Calves up to 6 months;Solid manure;28.05;2.51;19.18;36.69;Normal;Data set II
Lower Bavaria;Cattle;Calves up to 6 months;Liquid slurry;71.95;2.51;63.31;80.82;Normal;Data set II
Lower Bavaria;Cattle;Cows (dairy, suckler and nurse cows);Solid manure;6.41;2.5;0;15.05;Normal;Data set II
Lower Bavaria;Cattle;Cows (dairy, suckler and nurse cows);Liquid slurry;93.59;2.5;84.95;100;Normal;Data set II
Lower Bavaria;Cattle;Female cattle over 1 year up to 2 years;Liquid slurry;71.95;2.51;63.31;80.82;Normal;Data set II
Lower Bavaria;Cattle;Female cattle over 1 year up to 2 years;Solid manure;28.05;2.51;19.18;36.69;Normal;Data set II
Lower Bavaria;Cattle;Female cattle over 6 months up to 1 year;Solid manure;28.05;2.51;19.18;36.69;Normal;Data set II
Lower Bavaria;Cattle;Female cattle over 6 months up to 1 year;Liquid slurry;71.95;2.51;63.31;80.82;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 1 year up to 2 years;Liquid slurry;71.95;2.51;63.31;80.82;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 1 year up to 2 years;Solid manure;28.05;2.51;19.18;36.69;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 2 years, breeding bulls;Solid manure;28.05;2.51;19.18;36.69;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 2 years, breeding bulls;Liquid slurry;71.95;2.51;63.31;80.82;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 6 months up to 1 year;Solid manure;28.05;2.51;19.18;36.69;Normal;Data set II
Lower Bavaria;Cattle;Male cattle over 6 months up to 1 year;Liquid slurry;71.95;2.51;63.31;80.82;Normal;Data set II
Lower Bavaria;Cattle;Other female cattle over 2 years;Liquid slurry;71.95;2.51;63.31;80.82;Normal;Data set II
Lower Bavaria;Cattle;Other female cattle over 2 years;Solid manure;28.05;2.51;19.18;36.69;Normal;Data set II
Lower Bavaria;Horses;Horses over 1 year;Solid manure;100;0;100;100;Normal;Data set II
Lower Bavaria;Horses;Horses up to 1 year, ponies, small horses;Solid manure;100;0;100;100;Normal;Data set II
Lower Bavaria;Pigs;Breeding sows from 1st farrowing/pregnant gilts;Solid manure;8.25;2.51;0;16.89;Normal;Data set II
